p1,p2,p3,p4,q1,q2,q3,q4
2.87770462,0.665863097,0.555555582,0.737683058,10.63000011,20.73999977,3.599999905,22.53000069
1.392051578,0.55504483,1.40370369,0.748613656,9.310001373,43.51000977,2.700000286,16.23000145
1.540168285,0.744408965,0.412195116,0.817815423,13.07000065,15.65000057,4.099999905,24.81000137
1.506999969,0.549536705,2.052910089,0.713336766,10,28.05999756,1.890000105,19.56999969
1.333831191,0.561686754,1.910216689,0.512753904,13.38999844,41.49999619,3.229999781,42.33999634
1.292233825,0.701051593,2.434920549,0.595725715,12.49000072,19.96999931,3.150000095,22.45999908
1.116438389,0.486501694,0.622548997,0.396202832,8.760000229,17.77999878,6.119999886,40.02999878
1.090090036,0.472960591,0.633484125,0.552227318,5.550000668,10.91000175,2.210000277,13.02000141
2.216565371,0.534947038,4.303797245,0.492898583,26.31999779,66.09999847,0.789999902,49.98999786
1.383999944,0.578828812,0.53264606,0.383396715,5.000000477,13.3200016,2.910000324,15.78000259
1.819034815,0.466695487,2.092592716,1.44947207,7.460000038,23.11999893,0.540000021,6.630000591
1.102631569,0.302134663,0.955696225,0.53937006,3.799999714,6.089999199,1.579999924,7.619999886
1.593037248,1.048361897,1.039999962,0.68617022,8.329999924,6.410000324,2.75,18.80000114
2.439759016,0.879781425,2.179487228,1.004950523,1.659999847,1.829999924,1.169999838,6.059999466
1.377224207,0.691111088,1.395985365,0.642418921,5.620000362,18.00000191,5.480000496,22.82000351
2.467289686,0.833597481,1.198501825,0.449852109,8.559999466,12.61999893,2.669999838,37.18999863
2.868561268,0.431694001,1.1953125,0.574542642,5.630000114,7.320000172,1.279999971,25.69000053
2.508345366,0.526394427,1.055555582,1.021052599,20.96999741,40.15999222,4.859999657,20.8999958
1.326752305,0.463221878,0.966666639,1.061668634,10.13000011,16.45000076,2.099999905,8.270000458
2.125478983,0.732296109,0.845070422,0.471938133,10.44000149,18.6400013,1.420000076,40.09000397
1.431192636,0.329835087,1.228373766,0.599824131,3.269999981,6.670000076,2.889999866,11.36999989
0.859753489,0.38269794,0.538745403,0.635951638,23.53000069,47.74000549,2.710000277,6.620000362
2.46906805,0.617640495,0.668278515,0.673425078,12.76999855,44.66999435,10.3399992,27.61999702
1.529896855,0.428191483,1.322222233,0.719491005,4.849999905,3.760000229,5.400000572,17.29000092
1.408284068,0.495138377,1.562632799,0.531169951,13.5199995,26.73999786,4.709999561,23.41999817
1.049751282,0.94258374,0.956989229,0.685351312,8.039999962,4.179999828,0.930000007,13.37999916
1.812874198,0.642609298,2.931034327,0.7008816,6.679998875,14.40999889,1.159999967,15.87999821
1.399999976,0.707850754,1.069620252,0.933184862,0.49999994,7.769999504,1.579999924,4.489999771
0.964965701,0.523652375,0.340000004,0.705108404,13.13000011,9.090000153,2,12.91999912
1.615384579,1.259740233,0.869565189,1.075033188,13,3.079999924,2.299999952,15.06000042
1.316715598,0.450060159,0.984496117,0.574019909,13.64000034,16.61999893,5.159999847,17.09000015
1.99754703,0.45623678,0.701834857,0.50063777,12.2300005,23.65000153,4.360000134,15.68000126
1.080000043,0.55234158,2.086419821,0.518918872,1.25,7.259999275,0.809999943,11.09999943
1.825503349,0.680851042,1.264084458,0.613459289,2.980000257,7.050000668,2.840000391,42.35000229
0.923627675,0.455149502,1.185567021,0.467692286,4.190000057,12.03999996,0.970000029,6.5
1.681684613,0.388397455,3.421052694,0.408695668,10.21000004,48.61000061,0.379999995,1.149999976
2.090305567,0.731824756,1.258953214,0.496460199,7.53000021,20.77000237,3.630000591,11.30000019
0.7844311,0.567931473,0.809352517,0.789622664,1.669999957,8.169999123,2.779999495,10.59999943
1.026872993,0.410976142,2.691244125,0.303134412,12.27999878,23.86999512,2.169999838,23.2899971
1.847599149,0.595141709,1.169230819,0.49999997,4.790000439,2.470000267,0.650000036,5.160000801
1.526627183,0.457746476,1.729166627,0.566929102,3.380000353,2.840000153,0.960000098,6.350000381
1.811828017,1.101645708,1.655555606,0.671599329,13.02000046,10.32999992,0.899999976,17.56999969
1.720821142,0.510910094,1.394603729,0.529652357,17.05000305,37.58000565,5.930000782,29.34000587
2.508823633,0.76119405,1.852517962,1.011036634,6.800001144,8.710001945,2.780000448,46.21000671
1.477355599,0.520030499,0.768750012,0.538196623,19.2100029,26.21000862,6.400002003,31.94000626
1.58844769,0.956236303,1.583333373,0.319672137,2.769999981,13.71000004,2.880000114,13.42000103
