,salesprice,calcacres,ENGMeanScaleScore15,median_income,age,totbath,rmtot,rmbed,fixtot,fixhalf,fixaddl,fourthquart,pct_renter_occupied,pct_above_f,pct_below_f,MATHMeanScaleScore15,pct_HSdiploma,log_median_income,sqft,lon,plon,lat,plat,pct_white,pct_black,pct_collegeDegree,median_house_value,HHsize,tract_cover,total_crime_house
32,475000,0.5232,542.4191419,111140,63,1,5,2,5,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,2340,-84.36381321,0,33.80592445,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
33,725000,0.1619,542.4191419,131389,85,2,7,3,8,0,2,1,28.31632653,1,0,555.5377049,99.57924264,11.78591767,1973,-84.35036847,0,33.79022109,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
34,575000,0.8469,542.4191419,111140,65,2,6,2,12,0,6,0,17.25601132,0,1,555.5377049,100,11.61854595,1332,-84.36104781,0,33.80515511,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
35,550000,0.2238,542.4191419,160500,86,2.5,8,3,12,1,4,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,2047,-84.35206665,0,33.79542203,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
37,1482495,0.2066,542.4191419,131389,91,2,7,2,8,0,2,1,28.31632653,1,0,555.5377049,99.57924264,11.78591767,4400,-84.35252737,0,33.79011286,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
38,739000,0.1691,542.4191419,156150,86,2.5,10,6,10,1,2,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,2749,-84.35110936,0,33.78315492,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.059317845
39,1235000,0.243,542.4191419,160500,9,4,10,5,18,0,6,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,6486,-84.35813578,0,33.79648886,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
40,425000,0.5221,542.4191419,111140,63,2,7,3,8,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,1503,-84.35113071,0,33.80945038,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
41,675000,0.202,542.4191419,131389,89,2,6,2,9,0,3,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,2712,-84.35141578,0,33.78728516,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
42,695000,0.2826,542.4191419,111140,76,2.5,6,3,12,1,4,0,17.25601132,0,0,555.5377049,100,11.61854595,2617,-84.35054032,0,33.79957541,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
43,2250000,0.7071,542.4191419,111140,64,5,12,6,19,0,4,0,17.25601132,1,0,555.5377049,100,11.61854595,7280,-84.35422388,0,33.80100876,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
